Viewer                          视图/查看（根据软件图形界面具体使用的名称）
Tips                            提示
content-sensitive               目录关联
Full text search                全文搜索
palettes                        面板
object                          对象（特指模型对象，根据需要可以译作“物体”）
Constructive Solid Geometry     构造几何实体
Polygon Modeling                多边形建模
Sculpting                       雕刻
Generators                      生成器
SDS (Subdivision Surfaces)      细分曲面
Metaballs                       融球
Boole                           布尔
Deformation                     变形器
Collapse                        坍塌（对象的 C 操作，对应 3ds max 的塌陷）
Level of Detail                 细节级别
Picture Viewer                  图片查看器
Frame All                       框显全部
Frame Geometry                  框显几何体
Frame Default                   恢复默认场景
Frame Selected Elements         框显选取元素
Frame Selected Objects          框显选择中的对象
Active Objects                  活动对象
Film Move                       镜头移动
Film Magnify                    镜头缩放
Film Zoom                       镜头推移
Customize Commands Manager      自定义命令
Global parameter                全局参数
Local parameter                 局部参数
Normals                         法线（特殊名词）
Isoparm                         等参线
Backface culling                背面忽略
SDS Cage                        细分曲面框架（指被细分曲面前的对象）
Safe frame                      安全范围
Render Safe                     渲染安全框
Film Aspect                     胶片宽高比
Antialiasing                    抗锯齿
Frame Buffer                    帧缓冲区（暂定）
Tile                            图块（暂定）
Selection Assistant             选择助手（暂定）
Selection Object                选集对象
Shortcut hierarchies            层级快捷键
Quick Access                    快速选择
Mechanical Modeling             机械建模
Frame Output			        帧输出
Animation output		        动画输出
Proximal Shader                 接近着色器
Variable Path and File Names    可变路径和文件名
Pre-multiplied                  预叠加
Lighting scenario               光照条件
Oversample                      超采样
Logical Naming                  逻辑命名
Compositing project file        合成档案文件
Ambient Occlusion               环境吸收
Diffuse reflexion               漫反射
Anistrophy                      各向异性
Clip Negative Component         剪辑负成分
Clay rendering                  白模渲染
Irradiance                      辐照
Subsurface Scattering           次表面散射
Auto-stereoscopic               自动立体
Ghosting                        重影
Cel Renderer                    线描渲染器
General Sampling                通用采样
Basic Properties                基本属性
Pre Pass                        预解算
Color Bleeding                  渗色
Primary Sampler                 首次采样器
Subpolygon Displacement         次多边形置换
Timeslider                      时间滑动条（暂定）
RMB context menu                右键菜单
More differences to the old system      与旧版本的更多区别
Gel                             凝胶
Linear Color Space Fix          修复线性色彩空间
Gouraud Shading                 光影着色
Gimbal Lock                     万向节锁
Euler Rotation                  欧拉旋转
